Part No.,Part Description,Make/Buy,Category,Unit Cost
F88490,Lower Horizontal Frame Support (Beacon),Buy,Frame Tubes (F),$28.000000 
F38652,Upper Outer Horizontal Frame Support (Beacon),Buy,Frame Tubes (F),$14.000000 
F88492,Upper Inner Horizontal Frame Support (Beacon),Buy,Frame Tubes (F),$9.500000 
F38654,Outer Vertical Frame Support (Beacon),Buy,Frame Tubes (F),$17.000000 
F88494,Inner Vertical Frame Support (Beacon),Buy,Frame Tubes (F),$15.000000 
F38656,Upper & Lower Frame Tie  (Beacon),Buy,Frame Tubes (F),$12.200000 
F80900,Horizontal Frame Tube (24in Wd. Low Module),Buy,Frame Tubes (F),$12.500000 
F35542,Vertcal Frame Tube  (32in Wd. High Module),Buy,Frame Tubes (F),$19.000000 
F18171,Inner Horizontal Frame Tube (90deg. H. Corner Module),Buy,Frame Tubes (F),$12.000000 
F18172,Outer Horizontal Frame Tube (90deg. H. Corner Module),Buy,Frame Tubes (F),$13.500000 
F49154,Vertcal Frame Tube  (25in Sag. Grill Module),Buy,Frame Tubes (F),$14.500000 
F30757,Horizontal Frame Tube  (32in Sag. Grill Module),Buy,Frame Tubes (F),$14.000000 
M00489,"Single, Connector Base, Aluminum",Buy,Connector Comp. (M),$4.250000 
M13538,"Double, Connector Base, Aluminum",Buy,Connector Comp. (M),$7.140000 
M26587,"3way-A Config, Conn. Base, Aluminum",Buy,Connector Comp. (M),$8.160000 
M39636,"3way-B Config, Universal Base, Aluminum",Buy,Connector Comp. (M),$8.160000 
M20651,"5way 45deg Connector Base, Aluminum",Buy,Connector Comp. (M),$34.600000 
M18529,Standard Length Stanchion,Buy,Connector Comp. (M),$2.000000 
M87714,Extended Length Stanchion,Buy,Connector Comp. (M),$4.000000 
N38257,"Single Connector Assy., Std. Stanchion",Make,Connector Assy (N),$0.000000 
N10578,"Double Connector Assy., Std. Stanchion",Make,Connector Assy (N),$0.000000 
N82899,3way Tube Connector - A Config.,Make,Connector Assy (N),$0.000000 
N82900,3way Tube Connector - B Config. ,Make,Connector Assy (N),$0.000000 
N16910,3way Ext. Tube Connector - A Config.,Make,Connector Assy (N),$0.000000 
N16911,3way Ext. Tube Connector - B Config. ,Make,Connector Assy (N),$0.000000 
N69409,"5way Tube Connector Assy., 90 Deg. Corner Mod.",Make,Connector Assy (N),$0.000000 
S16626,Outer Top Sheath w/o Sink (Beacon),Buy,Ext. Cabinet Sheathing (S),$21.830000 
S72207,Inner Top Sheath (Beacon),Buy,Ext. Cabinet Sheathing (S),$14.450000 
S44754,Bottom Sheath (Beacon),Buy,Ext. Cabinet Sheathing (S),$33.730000 
S34089,End Sheath (Beacon),Buy,Ext. Cabinet Sheathing (S),$21.940000 
S49271,"Inner Side Sheath, Left (Beacon)",Buy,Ext. Cabinet Sheathing (S),$6.780000 
S64453,"Inner Side Sheath, Right (Beacon)",Buy,Ext. Cabinet Sheathing (S),$7.350000 
S46822,"Back Sheath, Accessory Kit B (Beacon)",Buy,Ext. Cabinet Sheathing (S),$43.280000 
S92795,Outer Top Sheath w/Sink (Beacon),Buy,Ext. Cabinet Sheathing (S),$22.030000 
S26496,"Back Sheath, Accessory Kit D (Beacon)",Buy,Ext. Cabinet Sheathing (S),$0.010000 
S47899,"Top Sheath w/o Sink/Ice Bin, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$21.310000 
S76940,"Top Sheath with Sink/Ice Bin, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$25.000000 
S52166,"Bottom Sheath, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$21.890000 
S41502,"Side Sheath, 24in wd. Low Module",Buy,Ext. Cabinet Sheathing (S),$26.380000 
S90669,"Back Sheath, 24in wd. Low Module (Solid)",Buy,Ext. Cabinet Sheathing (S),$31.350000 
S39496,"Top Sheath w/o Sink/Ice Bin, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$21.310000 
S68537,"Top Sheath with Sink/Ice Bin, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$25.000000 
S43763,"Bottom Sheath, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$21.890000 
S33099,"Side Sheath, 32in wd. High Module",Buy,Ext. Cabinet Sheathing (S),$26.380000 
S73252,"Back Sheath, 32in wd. High Module, Accessory Kit B (LP Hole/Vent)",Buy,Ext. Cabinet Sheathing (S),$31.350000 
S77760,"Back Sheath, 32in wd. High Module, Accessory Kit C (Power In Elec./Vent)",Buy,Ext. Cabinet Sheathing (S),$31.350000 
S92689,"45deg. Top/Bottom Reinforcement Plate, 90deg. High Corner Module",Buy,Ext. Cabinet Sheathing (S),$7.510000 
S92690,"Bottom Sheath, 90deg. High Corner Module",Buy,Ext. Cabinet Sheathing (S),$22.990000 
